event_id,start_time,end_time,duration_min,n_steps,event_size,day_of_year,month,hour_of_day
1,2023-12-15 09:00:00,2023-12-15 09:30:00,60.0,2,9.43333338,349,12,9
2,2023-12-21 08:00:00,2023-12-21 08:30:00,60.0,2,6.1000010200000006,355,12,8
3,2023-12-22 10:00:00,2023-12-22 10:30:00,60.0,2,14.116666639999998,356,12,10
4,2023-12-24 18:30:00,2023-12-24 18:30:00,30.0,1,2.8166666019999997,358,12,18
5,2023-12-28 14:30:00,2023-12-28 15:00:00,60.0,2,7.000000644,362,12,14
6,2024-01-04 09:30:00,2024-01-04 10:00:00,60.0,2,18.33333318,4,1,9
7,2024-01-08 07:30:00,2024-01-08 08:00:00,60.0,2,16.316666599999998,8,1,7
8,2024-01-10 09:00:00,2024-01-10 09:30:00,60.0,2,6.066666920000003,10,1,9
9,2024-01-13 09:30:00,2024-01-13 10:00:00,60.0,2,24.03333266,13,1,9
10,2024-01-15 08:30:00,2024-01-15 09:00:00,60.0,2,8.266667060000003,15,1,8
11,2024-01-19 14:00:00,2024-01-19 15:00:00,90.0,3,19.508332770000003,19,1,14
12,2024-01-23 15:00:00,2024-01-23 15:00:00,30.0,1,2.3333330200000013,23,1,15
13,2024-01-25 09:00:00,2024-01-25 09:30:00,60.0,2,17.31666628,25,1,9
14,2024-01-28 10:00:00,2024-01-28 10:30:00,60.0,2,20.56666772,28,1,10
15,2024-01-31 14:00:00,2024-01-31 14:30:00,60.0,2,7.099999419999996,31,1,14
16,2024-02-01 08:30:00,2024-02-01 09:00:00,60.0,2,9.766666399999998,32,2,8
17,2024-02-02 14:30:00,2024-02-02 15:00:00,60.0,2,7.233332320000002,33,2,14
18,2024-02-03 09:00:00,2024-02-03 09:30:00,60.0,2,7.366668059999995,34,2,9
19,2024-02-04 09:00:00,2024-02-04 09:30:00,60.0,2,8.333333339999996,35,2,9
20,2024-02-06 20:00:00,2024-02-06 20:30:00,60.0,2,6.76666642,37,2,20
21,2024-02-07 07:30:00,2024-02-07 08:00:00,60.0,2,7.166666360000001,38,2,7
22,2024-02-07 16:30:00,2024-02-07 17:00:00,60.0,2,8.366666800000004,38,2,16
23,2024-02-09 07:30:00,2024-02-09 08:00:00,60.0,2,16.03333362,40,2,7
24,2024-02-12 15:30:00,2024-02-12 16:30:00,90.0,3,20.350000530000003,43,2,15
25,2024-02-13 07:30:00,2024-02-13 08:00:00,60.0,2,11.34999942,44,2,7
26,2024-02-14 08:00:00,2024-02-14 08:30:00,60.0,2,8.666666660000004,45,2,8
27,2024-02-19 10:30:00,2024-02-19 11:30:00,90.0,3,16.29999924,50,2,10
28,2024-02-21 06:30:00,2024-02-21 07:00:00,60.0,2,17.76666658,52,2,6
29,2024-02-23 17:00:00,2024-02-23 18:00:00,90.0,3,9.816667879999994,54,2,17
30,2024-02-24 07:00:00,2024-02-24 07:30:00,60.0,2,8.200000760000002,55,2,7
31,2024-02-25 05:30:00,2024-02-25 06:00:00,60.0,2,6.400000259999999,56,2,5
32,2024-02-26 13:30:00,2024-02-26 14:00:00,60.0,2,9.300001780000002,57,2,13
33,2024-03-01 14:30:00,2024-03-01 15:00:00,60.0,2,7.466667180000002,61,3,14
34,2024-03-03 15:30:00,2024-03-03 16:30:00,90.0,3,10.233334209999997,63,3,15
35,2024-03-04 17:30:00,2024-03-04 18:30:00,90.0,3,26.133333039999997,64,3,17
36,2024-03-05 09:30:00,2024-03-05 10:00:00,60.0,2,7.233334220000003,65,3,9
37,2024-03-07 11:30:00,2024-03-07 12:00:00,60.0,2,6.0666656399999965,67,3,11
38,2024-03-07 14:30:00,2024-03-07 15:30:00,90.0,3,14.0333325,67,3,14
39,2024-03-09 17:00:00,2024-03-09 17:00:00,30.0,1,2.3000001899999987,69,3,17
40,2024-03-10 07:30:00,2024-03-10 08:00:00,60.0,2,7.700000439999997,70,3,7
41,2024-03-10 21:00:00,2024-03-10 21:30:00,60.0,2,6.4666665399999985,70,3,21
42,2024-03-11 09:00:00,2024-03-11 09:30:00,60.0,2,9.166666199999998,71,3,9
43,2024-03-13 13:30:00,2024-03-13 15:00:00,120.0,4,17.883331919999996,73,3,13
44,2024-03-13 17:30:00,2024-03-13 18:00:00,60.0,2,9.099997819999999,73,3,17
45,2024-03-14 07:30:00,2024-03-14 08:00:00,60.0,2,6.5333334600000015,74,3,7
46,2024-03-15 14:30:00,2024-03-15 15:00:00,60.0,2,12.06666612,75,3,14
47,2024-03-16 15:30:00,2024-03-16 16:00:00,60.0,2,28.65000026,76,3,15
48,2024-03-18 12:00:00,2024-03-18 12:30:00,60.0,2,7.533331539999992,78,3,12
49,2024-03-18 17:00:00,2024-03-18 18:00:00,90.0,3,9.89999994,78,3,17
50,2024-03-20 07:00:00,2024-03-20 07:30:00,60.0,2,7.100000379999997,80,3,7
51,2024-03-20 14:00:00,2024-03-20 14:30:00,60.0,2,27.599999259999997,80,3,14
52,2024-03-22 16:00:00,2024-03-22 16:30:00,60.0,2,6.266668960000004,82,3,16
53,2024-03-23 13:00:00,2024-03-23 13:30:00,60.0,2,7.666667299999993,83,3,13
54,2024-03-24 18:00:00,2024-03-24 19:00:00,90.0,3,9.949999169999998,84,3,18
55,2024-03-25 07:00:00,2024-03-25 07:30:00,60.0,2,14.566665800000003,85,3,7
56,2024-03-26 07:00:00,2024-03-26 07:30:00,60.0,2,6.600000379999997,86,3,7
57,2024-03-27 06:00:00,2024-03-27 07:00:00,90.0,3,13.700000589999998,87,3,6
58,2024-03-28 09:00:00,2024-03-28 09:30:00,60.0,2,9.099999759999996,88,3,9
59,2024-03-29 20:30:00,2024-03-29 21:00:00,60.0,2,7.833333320000001,89,3,20
60,2024-03-30 12:30:00,2024-03-30 13:30:00,90.0,3,16.03333156,90,3,12
61,2024-03-30 14:30:00,2024-03-30 16:00:00,120.0,4,17.54999892,90,3,14
62,2024-03-31 11:30:00,2024-03-31 13:00:00,120.0,4,19.53333408999999,91,3,11
63,2024-03-31 16:00:00,2024-03-31 16:30:00,60.0,2,8.766664500000005,91,3,16
64,2024-04-01 07:00:00,2024-04-01 08:30:00,120.0,4,14.633332562999996,92,4,7
65,2024-04-02 07:30:00,2024-04-02 08:00:00,60.0,2,7.366666473999999,93,4,7
66,2024-04-04 14:30:00,2024-04-04 15:00:00,60.0,2,20.71666718,95,4,14
67,2024-04-06 07:30:00,2024-04-06 08:00:00,60.0,2,6.4666668529999995,97,4,7
68,2024-04-06 15:00:00,2024-04-06 16:00:00,90.0,3,17.733333589999997,97,4,15
