hour_of_day,event_count,mean_event_size,total_event_size
0,10,7.471666878999997,74.71666878999997
1,14,7.589285439999999,106.24999616
2,7,8.59285736,60.150001519999996
3,6,7.130555898333331,42.78333538999998
4,10,7.538333416999999,75.38333416999998
5,13,7.642307417692308,99.34999643
6,7,12.285714424285715,86.00000097
7,22,9.459848516363637,208.11666736
8,12,11.848263905000003,142.17916686000004
9,19,13.413157645789472,254.84999526999997
10,18,10.038657391666666,180.69583304999998
11,19,11.21535059473684,213.09166129999997
12,23,9.367028926347825,215.44166530599998
13,20,10.5625000635,211.25000126999998
14,30,12.3263885808,369.791657424
15,30,10.280000110666666,308.40000332
16,19,10.42631574,198.09999906
17,17,11.518627585882353,195.81666896
18,6,9.466666645333333,56.799999872
19,15,9.157777945333331,137.36666917999997
20,23,10.515217902608699,241.85001176000006
21,11,9.90606083,108.96666913
22,11,12.143939522727273,133.58333475
23,7,11.564285595714283,80.94999916999998
