month,percentile,duration_min_value
1,0,30.0
1,5,60.0
1,10,60.0
1,25,60.0
1,50,60.0
1,75,90.0
1,90,120.0
1,95,120.0
1,100,270.0
2,0,30.0
2,5,30.0
2,10,60.0
2,25,60.0
2,50,60.0
2,75,90.0
2,90,90.0
2,95,120.0
2,100,180.0
3,0,30.0
3,5,30.0
3,10,60.0
3,25,60.0
3,50,60.0
3,75,90.0
3,90,120.0
3,95,120.0
3,100,150.0
4,0,30.0
4,5,30.0
4,10,60.0
4,25,60.0
4,50,60.0
4,75,90.0
4,90,120.0
4,95,142.5
4,100,150.0
5,0,30.0
5,5,30.0
5,10,36.00000000000001
5,25,60.0
5,50,60.0
5,75,90.0
5,90,90.0
5,95,116.99999999999996
5,100,210.0
6,0,30.0
6,5,36.00000000000001
6,10,60.0
6,25,60.0
6,50,60.0
6,75,90.0
6,90,90.0
6,95,161.99999999999974
6,100,180.0
7,0,30.0
7,5,31.5
7,10,60.0
7,25,60.0
7,50,60.0
7,75,60.0
7,90,90.0
7,95,118.49999999999997
7,100,150.0
8,0,30.0
8,5,30.0
8,10,36.00000000000001
8,25,60.0
8,50,60.0
8,75,60.0
8,90,90.0
8,95,90.0
8,100,90.0
9,0,30.0
9,5,55.5
9,10,60.0
9,25,60.0
9,50,60.0
9,75,90.0
9,90,90.0
9,95,120.0
9,100,120.0
10,0,30.0
10,5,60.0
10,10,60.0
10,25,60.0
10,50,60.0
10,75,90.0
10,90,90.0
10,95,90.0
10,100,150.0
11,0,30.0
11,5,30.0
11,10,57.00000000000001
11,25,60.0
11,50,60.0
11,75,90.0
11,90,90.0
11,95,90.0
11,100,90.0
12,0,30.0
12,5,60.0
12,10,60.0
12,25,60.0
12,50,60.0
12,75,90.0
12,90,120.0
12,95,120.0
12,100,210.0
