month,hour_of_day,n_events_observed,event_start_probability
1,0,0,0.0
1,1,1,0.016129032258064516
1,2,2,0.03225806451612903
1,3,2,0.03225806451612903
1,4,5,0.08064516129032258
1,5,5,0.08064516129032258
1,6,1,0.016129032258064516
1,7,1,0.016129032258064516
1,8,0,0.0
1,9,3,0.04838709677419355
1,10,8,0.12903225806451613
1,11,5,0.08064516129032258
1,12,5,0.08064516129032258
1,13,1,0.016129032258064516
1,14,4,0.06451612903225806
1,15,4,0.06451612903225806
1,16,3,0.04838709677419355
1,17,3,0.04838709677419355
1,18,5,0.08064516129032258
1,19,3,0.04838709677419355
1,20,2,0.03225806451612903
1,21,1,0.016129032258064516
1,22,2,0.03225806451612903
1,23,2,0.03225806451612903
2,0,3,0.05172413793103448
2,1,0,0.0
2,2,0,0.0
2,3,2,0.034482758620689655
2,4,1,0.017241379310344827
2,5,1,0.017241379310344827
2,6,0,0.0
2,7,2,0.034482758620689655
2,8,3,0.05172413793103448
2,9,2,0.034482758620689655
2,10,2,0.034482758620689655
2,11,0,0.0
2,12,2,0.034482758620689655
2,13,3,0.05172413793103448
2,14,2,0.034482758620689655
2,15,2,0.034482758620689655
2,16,1,0.017241379310344827
2,17,6,0.10344827586206896
2,18,2,0.034482758620689655
2,19,3,0.05172413793103448
2,20,2,0.034482758620689655
2,21,1,0.017241379310344827
2,22,0,0.0
2,23,1,0.017241379310344827
3,0,3,0.04838709677419355
3,1,1,0.016129032258064516
3,2,0,0.0
3,3,1,0.016129032258064516
3,4,0,0.0
3,5,2,0.03225806451612903
3,6,2,0.03225806451612903
3,7,1,0.016129032258064516
3,8,2,0.03225806451612903
3,9,1,0.016129032258064516
3,10,0,0.0
3,11,3,0.04838709677419355
3,12,1,0.016129032258064516
3,13,0,0.0
3,14,2,0.03225806451612903
3,15,6,0.0967741935483871
3,16,3,0.04838709677419355
3,17,5,0.08064516129032258
3,18,5,0.08064516129032258
3,19,5,0.08064516129032258
3,20,5,0.08064516129032258
3,21,2,0.03225806451612903
3,22,3,0.04838709677419355
3,23,0,0.0
4,0,0,0.0
4,1,1,0.016666666666666666
4,2,0,0.0
4,3,0,0.0
4,4,0,0.0
4,5,1,0.016666666666666666
4,6,1,0.016666666666666666
4,7,2,0.03333333333333333
4,8,3,0.05
4,9,2,0.03333333333333333
4,10,4,0.06666666666666667
4,11,2,0.03333333333333333
4,12,1,0.016666666666666666
4,13,1,0.016666666666666666
4,14,2,0.03333333333333333
4,15,5,0.08333333333333333
4,16,5,0.08333333333333333
4,17,2,0.03333333333333333
4,18,3,0.05
4,19,3,0.05
4,20,3,0.05
4,21,2,0.03333333333333333
