timestamp,dhw_draw_size_l,dhw_draw_energy_kwh,t_out_c,t_amb_c,st_power_kw
2024-01-01 00:00:00,0.0,0.0,2.5,12.5,0.0
2024-01-01 00:30:00,0.0,0.0,2.65,12.65,0.0
2024-01-01 01:00:00,0.0,0.0,2.8,12.8,0.0
2024-01-01 01:30:00,0.0,0.0,2.7,12.7,0.0
2024-01-01 02:00:00,0.0,0.0,2.6,12.6,0.0
2024-01-01 02:30:00,0.0,0.0,2.6,12.6,0.0
2024-01-01 03:00:00,0.0,0.0,2.6,12.6,0.0
2024-01-01 03:30:00,0.0,0.0,2.6,12.6,0.0
2024-01-01 04:00:00,0.0,0.0,2.6,12.6,0.0
2024-01-01 04:30:00,0.0,0.0,2.65,12.65,0.0
2024-01-01 05:00:00,10.984799309408285,0.5109152212131453,2.7,12.7,0.0
2024-01-01 05:30:00,10.984799309408285,0.5109152212131453,2.9,12.9,0.0
2024-01-01 06:00:00,10.984799309408285,0.5109152212131453,3.1,13.1,0.0
2024-01-01 06:30:00,10.984799309408285,0.5109152212131453,3.2,13.2,0.0
2024-01-01 07:00:00,0.0,0.0,3.3,13.3,0.0
2024-01-01 07:30:00,0.0,0.0,3.15,13.15,0.0
2024-01-01 08:00:00,0.0,0.0,3.0,13.0,0.0
2024-01-01 08:30:00,0.0,0.0,3.2,13.2,0.0
2024-01-01 09:00:00,0.0,0.0,3.4,13.4,0.0
2024-01-01 09:30:00,0.0,0.0,3.6,13.6,0.0
2024-01-01 10:00:00,0.0,0.0,3.8,13.8,0.0
2024-01-01 10:30:00,0.0,0.0,3.95,13.95,0.0
2024-01-01 11:00:00,0.0,0.0,4.1,14.1,0.0
2024-01-01 11:30:00,0.0,0.0,4.4,14.4,0.0
2024-01-01 12:00:00,0.0,0.0,4.7,14.7,1.0
2024-01-01 12:30:00,0.0,0.0,5.0,15.0,1.0
2024-01-01 13:00:00,0.0,0.0,5.3,15.3,1.0
2024-01-01 13:30:00,0.0,0.0,5.25,15.25,0.0
2024-01-01 14:00:00,0.0,0.0,5.2,15.2,0.0
2024-01-01 14:30:00,0.0,0.0,4.7,14.7,0.0
2024-01-01 15:00:00,0.0,0.0,4.2,14.2,0.0
2024-01-01 15:30:00,11.259425928234446,0.5236884103954377,3.5,13.5,0.0
2024-01-01 16:00:00,11.259425928234446,0.5236884103954377,2.8,12.8,0.0
2024-01-01 16:30:00,11.259425928234446,0.5236884103954377,2.45,12.45,0.0
2024-01-01 17:00:00,11.259425928234446,0.5236884103954377,2.1,12.1,0.0
2024-01-01 17:30:00,0.0,0.0,1.75,11.75,0.0
2024-01-01 18:00:00,5.248292510761341,0.244103916111633,1.4,11.4,0.0
